gene_ID	CV.TPM	CV.logTPM	rank
Crpow_TRINITY_DN10159_c0_g1	1.380720120564824	0.9484705440524742	32503
Crpow_TRINITY_DN10162_c0_g2	2.724909547368609	1.9077929682589896	36845
Crpow_TRINITY_DN101676_c0_g1	1.4098798391558172	1.2298438615837002	34745
Crpow_TRINITY_DN10168_c2_g1	1.1136359783038177	0.8347143126354976	31233
Crpow_TRINITY_DN101743_c0_g3	1.7125958296690738	1.344967369575642	35385
Crpow_TRINITY_DN101753_c0_g1	2.2184019457066158	1.4191244528804134	35695
Crpow_TRINITY_DN101770_c0_g1	1.111516724101852	1.0298341333808254	33347
Crpow_TRINITY_DN101776_c0_g3	1.1517268163882053	0.9707068569514838	32719
Crpow_TRINITY_DN101800_c2_g1	1.2792638810944592	1.1904508953521613	34505
Crpow_TRINITY_DN101812_c0_g1	1.0812541452864357	0.9527734637577909	32538
Crpow_TRINITY_DN101880_c1_g1	1.2692599407005645	1.0387428558849647	33443
Crpow_TRINITY_DN101919_c2_g1	2.8284271247461903	2.82842712474619	38397
Crpow_TRINITY_DN10191_c1_g1	1.33884804996363	0.842114339947276	31317
Crpow_TRINITY_DN101923_c1_g2	1.242550168809008	1.1111882055800217	33998
Crpow_TRINITY_DN102013_c0_g1	2.82842712474619	2.82842712474619	38397
Crpow_TRINITY_DN10217_c0_g2	1.201001943129694	1.012494987135423	33161
Crpow_TRINITY_DN10217_c0_g3	1.82002632753791	1.3960583084338958	35606
Crpow_TRINITY_DN10220_c0_g1	1.205118850374984	0.9653690242993924	32675
Crpow_TRINITY_DN10220_c0_g2	1.670700908258322	1.0037538162543551	33058
Crpow_TRINITY_DN102211_c0_g1	1.0635530567841105	0.9992483258886983	33016
Crpow_TRINITY_DN102239_c4_g1	2.727742144659338	2.68296514071628	38105
Crpow_TRINITY_DN102331_c0_g1	1.5873189843754334	1.0066808138991403	33084
Crpow_TRINITY_DN1023_c1_g1	1.416218745475643	0.8604269783294051	31546
Crpow_TRINITY_DN102404_c0_g1	1.0569697526875188	0.845615676816962	31353
Crpow_TRINITY_DN102412_c2_g1	2.765537094898979	2.7057737371221333	38145
Crpow_TRINITY_DN102430_c0_g1	2.5512586688667036	2.409418638032693	37696
Crpow_TRINITY_DN102445_c3_g1	1.4379142040353095	1.1067718280458947	33957
Crpow_TRINITY_DN102479_c0_g2	1.7462128798674323	1.0481137778242755	33522
Crpow_TRINITY_DN102484_c0_g1	2.388801085688131	2.180434545703582	37357
Crpow_TRINITY_DN102486_c1_g1	2.201728572023411	1.9466329751427518	36919
