gene_ID	CV.TPM	rank
Crpow_TRINITY_DN118219_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN118251_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN118506_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN119613_c2_g1	2.8284271247461903	78083
Crpow_TRINITY_DN119665_c1_g1	2.8284271247461903	78083
Crpow_TRINITY_DN119717_c2_g3	2.8284271247461903	78083
Crpow_TRINITY_DN119726_c0_g3	2.8284271247461903	78083
Crpow_TRINITY_DN119914_c3_g1	2.8284271247461903	78083
Crpow_TRINITY_DN120114_c2_g1	2.8284271247461903	78083
Crpow_TRINITY_DN120574_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN120574_c3_g1	2.8284271247461903	78083
Crpow_TRINITY_DN120622_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN120771_c2_g1	2.8284271247461903	78083
Crpow_TRINITY_DN121140_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN121536_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN121558_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN122377_c11_g1	2.8284271247461903	78083
Crpow_TRINITY_DN123012_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN123030_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN123162_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN123163_c3_g1	2.8284271247461903	78083
Crpow_TRINITY_DN123377_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN123446_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN123660_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN123842_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN124084_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN124094_c7_g1	2.8284271247461903	78083
Crpow_TRINITY_DN124343_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN124416_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN124942_c1_g1	2.8284271247461903	78083
Crpow_TRINITY_DN124962_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN124970_c8_g1	2.8284271247461903	78083
Crpow_TRINITY_DN125165_c1_g2	2.8284271247461903	78083
Crpow_TRINITY_DN125363_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN125536_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN126234_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN126349_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN126480_c7_g1	2.8284271247461903	78083
Crpow_TRINITY_DN126488_c7_g1	2.8284271247461903	78083
Crpow_TRINITY_DN126726_c4_g1	2.8284271247461903	78083
Crpow_TRINITY_DN126747_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN126747_c0_g4	2.8284271247461903	78083
Crpow_TRINITY_DN127061_c4_g1	2.8284271247461903	78083
Crpow_TRINITY_DN12717_c4_g1	2.8284271247461903	78083
Crpow_TRINITY_DN127748_c0_g3	2.8284271247461903	78083
Crpow_TRINITY_DN127778_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN127787_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN128160_c0_g3	2.8284271247461903	78083
Crpow_TRINITY_DN128220_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN128358_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN128384_c2_g1	2.8284271247461903	78083
Crpow_TRINITY_DN128532_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN129267_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN129301_c0_g3	2.8284271247461903	78083
Crpow_TRINITY_DN129308_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN129810_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN129903_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN129903_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN130123_c5_g1	2.8284271247461903	78083
Crpow_TRINITY_DN130249_c2_g2	2.8284271247461903	78083
Crpow_TRINITY_DN130417_c0_g1	2.8284271247461903	78083
